KodKlienta;I;II;III;IV;V;VI;VII;VIII;IX;X;XI;XII
0830705WES;9;10;7;13;15;18;20;17;17;16;11;11
0830802URU;2;2;4;4;4;7;8;8;5;5;3;4
0830902REM;4;2;2;5;4;7;10;8;4;6;4;4
0831003BIA;4;5;3;7;8;12;12;13;10;6;4;3
0831105URY;9;10;6;14;10;16;23;16;15;17;11;10
0831202BIA;4;3;4;4;5;7;10;8;4;6;3;2
0831303BIA;5;4;3;9;9;11;14;10;8;10;7;3
0831404BIA;7;6;8;14;8;17;20;17;12;13;8;7
0831506WLO;14;9;13;14;15;26;29;21;13;14;14;14
0831602BEM;2;2;2;4;4;6;8;7;6;5;2;2
0831702WAW;4;3;3;6;4;7;9;6;5;6;4;4
0831802URU;2;3;4;4;4;6;9;8;6;6;4;2
0831903WOL;3;6;6;9;6;10;16;12;7;10;4;7
0832003URU;4;3;3;7;7;9;13;10;8;10;3;4
0832105MOK;9;8;8;16;14;20;22;16;10;15;12;7
0832206BIA;8;7;11;14;19;23;25;23;19;15;8;14
0832305BIE;8;8;8;16;14;21;23;21;11;11;12;5
0832406WOL;9;7;7;12;20;23;32;25;12;13;6;11
0832504WES;8;7;5;11;10;13;17;18;9;14;9;5
0832602SRO;2;4;3;4;4;6;9;6;6;6;2;2
0832702BIE;2;2;3;6;5;8;10;7;5;4;4;3
0832804BIE;10;7;6;8;13;15;17;12;10;8;8;8
0832903PRA;7;5;6;6;10;9;16;9;8;10;6;5
0833003WES;7;5;5;9;9;9;16;13;9;9;6;6
0833101BEM;1;1;1;3;2;3;5;4;2;2;1;1
0833203PRA;4;3;4;9;6;12;14;12;7;8;7;5
0833303MOK;6;7;6;7;9;11;12;10;6;9;6;3
0833402TAR;3;4;3;5;5;7;10;6;4;5;2;2
0833503PRA;7;4;6;6;6;13;12;11;9;7;3;5
0833601WAW;1;1;1;3;2;4;5;3;3;3;2;1
0833703URU;6;7;5;9;7;11;12;9;8;8;4;5
0833805WES;5;10;10;16;13;22;20;15;15;14;5;12
0833903ZOL;6;7;6;9;9;9;12;13;10;7;6;6
0834004REM;5;6;9;9;12;18;20;14;10;13;5;7
0834102URU;4;4;4;6;4;7;9;6;6;6;3;2
0834204WOL;6;5;9;13;10;15;22;17;11;8;7;8
0834304ZOL;5;6;6;13;10;15;17;12;11;14;9;7
0834401TAR;1;2;2;2;2;4;4;4;3;2;2;1
0834503PRA;5;6;7;9;6;12;12;10;7;7;7;5
0834604URY;6;4;8;12;12;14;17;16;12;10;5;5
0834702PRA;3;3;3;4;4;6;9;7;4;5;3;3
0834805ZOL;10;8;12;11;16;20;23;22;17;11;6;9
0834905WES;12;12;12;15;17;25;29;19;17;14;11;13
0835003SRO;3;7;4;10;10;13;12;13;8;9;3;5
0835103WES;7;7;3;9;7;11;13;13;7;9;7;7
0835202BIA;3;4;3;6;5;8;8;7;4;5;3;2
0835307ZOL;10;15;10;21;17;22;35;29;20;22;14;12
0835403WES;4;7;4;7;9;10;14;9;6;8;4;5
0835504REM;6;7;10;10;10;18;18;13;9;9;9;10
0835604OCH;6;8;7;12;10;16;16;14;10;12;4;8
0835701OCH;1;1;1;2;2;4;5;4;3;3;2;1
0835804SRO;4;4;5;8;9;18;17;15;14;12;8;10
0835904TAR;5;7;8;9;14;18;20;13;10;12;4;6
0836003SRO;4;5;7;10;8;10;15;12;6;8;4;4
0836104MOK;6;4;6;8;12;13;21;16;8;13;10;10
0836204WLO;8;6;9;9;9;13;22;13;14;13;5;9
0836301WES;2;1;1;3;3;4;4;4;2;2;2;1
0836402BEM;4;2;2;4;5;8;10;7;4;4;4;2
0836504WOL;7;5;9;8;14;14;17;18;9;14;5;9
0836604MOK;6;5;5;8;12;12;21;16;11;12;4;9
0836703BIA;4;7;5;8;7;12;12;10;9;8;7;6
0836801URY;1;2;1;2;3;3;4;4;2;2;1;1
0836904ZOL;9;10;7;12;13;16;19;16;13;13;7;4
0837005WOL;9;10;10;11;11;15;23;17;16;15;9;9
0837104BIA;10;4;6;13;8;13;16;17;10;12;4;5
0837205TAR;6;10;11;14;13;21;26;15;15;14;10;5
0837304WES;10;7;9;13;12;18;21;15;8;9;5;8
0837404BIE;5;9;8;11;14;18;18;14;14;8;8;4
0837502SRO;2;4;4;5;5;6;10;6;6;5;2;2
0837602TAR;4;3;4;6;5;6;8;6;6;6;4;3
0837703BIE;4;5;6;8;8;11;14;11;8;8;4;4
0837803WIL;3;4;7;9;10;11;12;11;8;7;7;7
0837902URU;2;4;4;6;5;7;8;7;4;5;2;4
0838004WES;9;10;9;11;8;12;20;17;14;13;9;4
0838104WES;10;8;8;13;10;16;18;12;8;12;9;5
0838204MOK;9;7;4;10;14;15;18;15;9;9;5;8
0838302BIE;4;3;3;4;6;7;8;6;6;4;4;3
0838402WLO;2;2;4;5;4;8;8;6;6;5;4;4
0838501WLO;1;1;2;3;3;3;4;3;2;3;1;1
0838602WIL;3;2;4;5;4;6;10;7;4;6;3;4
0838704BEM;5;10;10;14;12;18;22;15;8;13;7;7
0838803TAR;5;6;7;6;6;9;15;10;7;10;5;4
0838903MOK;6;7;5;7;8;10;14;10;9;6;5;4
0839005TAR;8;5;12;12;17;21;26;15;15;16;6;6
0839106BIA;9;7;8;17;13;19;31;18;20;18;14;12
0839207TAR;14;7;10;17;14;27;32;25;17;18;12;10
0839303BEM;5;5;5;6;7;9;14;10;8;7;7;6
0839404BIA;10;4;5;12;12;12;19;18;14;9;9;5
0839501WLO;1;2;2;3;3;4;4;4;3;3;2;2
0839603TAR;5;7;7;8;10;10;16;12;8;10;3;7
0839703ZOL;6;5;4;7;6;10;13;11;10;7;6;6
0839803WES;4;4;7;9;8;9;14;13;8;10;6;6
0839903SRO;3;4;3;7;7;12;14;9;8;9;7;7
0840004BIA;6;9;9;9;9;16;20;13;13;10;10;9
0840102REM;4;4;2;6;5;7;9;8;6;6;4;2
0840201ZOL;1;1;2;3;3;4;4;3;3;3;2;1
0840303URU;7;4;6;10;8;9;13;10;7;10;6;6
0840403BIA;5;3;4;9;8;10;13;10;8;6;4;4
0840503PRA;6;4;5;7;10;11;13;12;10;8;7;7
0840605BIE;11;9;8;10;17;18;25;19;12;14;12;7
0840704BIA;8;4;7;9;8;16;19;12;10;14;5;4
0840803PRA;6;6;4;6;7;11;12;9;8;7;5;6
0840903URU;7;4;4;6;9;12;16;12;6;7;3;3
0841003WLO;6;5;3;8;9;11;15;11;7;9;6;7
0841103OCH;7;4;6;8;9;10;14;10;10;10;3;3
0841205URU;8;12;6;12;11;17;27;15;10;15;10;11
0841303URY;5;3;6;10;7;10;13;12;10;8;7;4
0841401OCH;1;2;1;3;2;3;4;3;2;2;2;1
0841505SRO;10;7;5;12;13;17;23;15;10;15;9;5
0841603OCH;4;4;3;7;9;13;15;13;9;8;6;6
0841702URU;2;2;4;5;5;8;9;6;5;5;2;2
0841804REM;6;9;9;14;14;15;20;12;11;13;8;4
0841904WOL;7;8;9;10;8;15;22;12;10;12;8;10
0842006BIA;8;10;14;15;18;18;28;24;13;20;9;10
0842103BIE;5;5;6;10;6;11;14;10;9;10;5;5
0842203URU;5;7;3;9;8;12;16;13;8;7;3;4
0842304BIE;9;6;8;9;12;18;22;16;11;13;10;8
0842403BIE;5;3;6;7;9;12;15;13;6;7;3;4
0842504TAR;9;6;7;12;8;16;19;15;9;13;8;7
0842604WIL;5;8;10;8;8;15;18;12;8;9;9;10
0842705URU;7;8;8;12;15;21;25;15;16;11;11;12
0842803URU;3;3;7;8;8;13;12;13;6;10;5;5
0842903BIE;5;7;4;8;7;10;13;10;9;9;4;4
0843003BEM;3;5;5;9;6;9;13;9;6;9;7;3
0843104URY;7;7;5;8;11;15;16;13;11;14;6;8
0843204BIE;9;10;9;14;10;12;18;12;9;11;8;5
0843301REM;1;2;1;3;2;3;5;4;2;3;2;2
0843404TAR;5;9;7;13;14;13;22;16;12;9;6;8
0843502REM;4;3;2;5;6;6;10;7;6;5;4;3
0843603URY;5;5;4;7;8;9;15;12;9;7;4;6
0843703WES;5;3;6;9;9;11;12;13;6;9;5;7
0843802PRA;3;2;4;4;4;6;10;7;6;6;2;3
0843901WAW;1;2;2;3;2;3;4;3;2;2;2;1
0844004ZOL;8;6;8;10;8;18;22;17;13;8;5;5
0844103WLO;4;6;7;6;6;13;13;10;8;10;6;7
0844202BIA;4;2;4;5;6;8;10;7;6;6;2;4
0844304WES;6;8;7;9;14;17;22;17;9;9;9;6
0844404URY;10;5;10;13;12;12;17;18;8;11;10;9
0844503URY;4;6;5;8;6;9;14;10;6;9;6;5
0844604BIA;9;6;7;9;8;18;22;12;8;10;9;4
0844704BIE;5;4;6;10;10;14;19;18;8;12;9;4
0844802SRO;2;3;3;5;6;6;9;6;4;5;4;3
0844903SRO;5;4;4;10;9;13;13;12;8;8;5;7
0845003URU;3;4;7;8;6;9;14;13;6;6;6;6
0845102WAW;4;4;2;5;6;7;8;6;6;6;3;4
0845203WOL;3;3;5;6;8;10;14;10;10;10;7;6
0845304WAW;4;7;8;14;11;18;22;17;9;14;6;5
0845403SRO;3;3;6;9;10;13;15;10;6;6;3;3
0845503WIL;6;4;6;6;8;10;15;12;9;7;3;4
0845602WOL;3;2;3;5;6;7;9;8;6;6;4;3
0845702TAR;4;2;3;5;5;8;8;8;4;5;4;4
0845804WOL;10;4;9;12;8;12;19;18;14;11;8;5
0845901BEM;1;1;1;2;3;4;4;3;3;3;1;1
0846003BIE;6;3;7;6;10;11;14;11;6;6;7;7
0846101WLO;1;2;1;2;2;3;4;4;3;3;2;2
0846203WLO;7;7;5;10;8;9;12;9;6;10;4;3
0846303REM;5;6;3;7;6;12;14;11;7;7;3;6
0846403URY;5;6;3;7;7;9;13;13;7;7;7;6
0846503PRA;5;3;7;9;7;11;13;13;7;8;4;6
0846604WES;10;7;9;14;11;16;18;14;8;14;6;5
0846703ZOL;4;7;5;7;10;9;15;9;7;7;7;6
0846804BIE;5;4;4;12;11;15;22;13;14;14;5;9
0846903SRO;3;5;3;6;6;13;13;11;7;9;5;7
0847001OCH;2;2;1;2;3;4;5;3;2;3;1;2
0847104WES;8;8;8;10;11;14;18;14;11;13;10;9
0847204WES;8;10;9;9;8;16;19;13;11;12;7;9
0847302SRO;4;2;4;4;5;8;8;6;4;4;3;4
0847405MOK;7;6;11;17;12;19;20;16;12;15;12;10
0847503OCH;6;7;4;10;8;13;15;11;7;6;4;6
0847604WES;4;7;8;10;10;15;20;18;11;11;4;5
0847703WIL;3;5;6;9;10;13;14;10;6;10;6;4
0847801BIA;1;1;2;2;2;3;4;4;2;2;1;2
0847904WOL;8;7;10;10;13;16;22;14;13;12;8;10
0848003WLO;7;7;5;6;7;9;15;11;7;7;4;4
0848104BEM;8;8;6;11;14;15;18;14;14;14;7;8
0848202WIL;2;4;4;6;5;6;9;7;4;6;4;3
0848302ZOL;4;2;3;4;5;7;8;7;4;6;4;4
0848403WES;3;7;5;9;9;10;14;10;9;10;5;5
0848502URY;2;2;3;6;6;8;9;8;5;4;3;4
0848603OCH;4;7;4;6;10;9;13;9;10;9;4;4
0848707MOK;10;10;10;19;15;29;30;23;15;19;12;10
0848802WIL;4;2;2;6;4;7;10;7;6;6;3;2
0848902BIA;4;2;3;4;6;7;10;6;4;6;2;2
0849002BIE;2;3;2;4;6;6;8;7;4;6;3;2
0849101SRO;1;2;2;2;3;4;5;4;2;2;1;2
0849204ZOL;7;7;8;9;11;15;16;12;11;9;8;4
0849307MOK;7;12;12;21;16;23;29;27;20;19;8;8
0849403PRA;6;7;4;7;10;12;15;11;8;8;4;6
0849504REM;5;6;4;11;9;15;16;17;9;11;8;10
0849604BIE;10;9;8;9;13;14;18;13;13;11;5;9
0849702TAR;4;4;4;5;4;7;10;8;5;4;3;4
0849805REM;7;5;12;16;17;17;21;18;10;14;7;5
0849903OCH;6;3;6;9;10;9;16;11;7;6;7;5
0850001REM;1;1;2;3;2;4;4;3;2;3;2;1
0850104WAW;10;9;7;14;10;16;17;17;11;10;8;10
0850203BIE;7;6;3;10;9;13;13;12;6;6;3;5
0850303WIL;4;3;4;10;6;12;15;13;7;9;4;7
0850405PRA;5;12;7;13;12;16;25;18;14;15;6;7
0850504URY;10;8;5;9;11;18;17;12;13;9;10;5
0850607BIE;14;15;12;19;19;22;33;26;21;21;9;15
0850707WAW;9;14;15;16;21;28;28;29;18;21;11;15
0850804WAW;6;7;8;13;10;18;19;16;10;8;4;8
0850904BIA;5;8;9;8;14;16;17;15;14;13;6;8
0851001URU;2;1;1;3;3;3;5;3;3;3;1;2
0851101BEM;2;1;2;3;3;4;5;3;3;2;2;2
0851203SRO;6;7;6;6;10;12;16;10;10;10;6;3
0851304ZOL;4;6;7;12;9;16;20;13;8;9;10;9
0851402PRA;3;3;3;4;4;7;8;6;4;6;4;2
0851504OCH;6;8;5;12;12;14;21;16;10;9;4;9
0851604MOK;7;8;4;11;9;14;19;16;10;9;4;10
0851702BIA;3;4;4;4;4;6;9;8;5;5;3;4
0851804WES;5;9;7;13;12;15;19;15;8;14;5;8
0851905BIA;12;6;7;17;13;18;24;21;17;14;8;11
0852004SRO;6;6;10;12;13;17;16;18;11;8;5;5
0852102REM;3;4;4;4;6;6;10;8;5;6;3;2
0852203BIE;3;5;4;7;8;12;12;13;6;10;5;5
0852303WIL;7;7;6;10;8;12;13;10;6;7;5;7
0852404WAW;7;10;5;11;12;18;21;18;14;11;8;7
0852503ZOL;3;6;7;10;10;9;16;10;6;6;5;3
0852604REM;6;8;7;12;14;15;16;12;14;11;7;7
0852703TAR;6;5;6;10;7;13;16;10;9;6;5;4
0852802WIL;3;2;3;5;5;6;8;8;5;5;4;3
0852903WOL;3;3;6;9;8;10;12;12;6;10;6;5
0853004BEM;8;4;5;8;12;16;20;13;11;9;5;4
0853103WES;5;3;4;7;6;11;16;13;8;9;5;5
0853204REM;5;4;4;11;8;12;19;17;14;10;10;7
0853307URY;12;10;11;16;19;28;35;21;15;15;15;13
0853403REM;7;7;3;6;8;13;15;13;10;9;3;3
0853501MOK;2;2;2;3;2;3;5;4;3;3;2;1
0853604REM;5;6;4;10;14;17;20;18;13;9;9;5
0853705TAR;12;5;6;13;13;15;21;22;15;11;9;6
0853803WES;7;7;7;6;9;9;13;11;8;8;4;4
0853903URU;7;4;3;9;9;10;12;11;7;6;5;5
0854003OCH;5;6;3;10;9;13;14;13;10;6;6;5
0854103MOK;3;3;6;10;9;9;12;13;6;9;7;3
0854202WOL;4;4;3;5;6;7;10;6;4;6;3;4
0854304ZOL;4;5;6;11;13;18;17;18;12;13;4;10
0854404ZOL;6;8;4;14;8;17;17;12;10;14;9;7
0854504TAR;9;8;7;9;10;16;19;17;11;11;7;6
0854601MOK;2;1;1;2;3;4;5;4;3;3;2;1
0854703WES;5;7;3;10;9;11;15;12;6;8;5;5
0854803BIE;4;3;7;8;9;9;15;12;8;9;4;3
0854901WIL;1;1;1;2;3;3;5;4;2;2;1;1
0855004WIL;9;10;5;8;12;12;16;16;12;14;7;9
0855104URY;7;5;8;10;9;16;22;12;14;13;9;6
0855204PRA;4;7;4;11;10;15;18;15;8;13;8;6
0855304WES;10;4;9;9;10;14;19;14;12;12;4;8
0855401PRA;1;1;1;2;2;3;4;3;3;2;2;2
0855504WLO;5;6;7;12;13;17;18;17;14;10;6;5
0855603ZOL;3;4;3;9;6;11;12;12;8;10;3;7
0855704WIL;6;8;10;13;10;16;20;13;12;8;6;4
0855803SRO;4;4;5;6;7;9;13;9;9;9;5;7
0855903WIL;5;6;3;9;6;9;12;9;6;9;5;3
0856004WAW;6;5;10;9;9;18;22;12;10;10;5;7
0856103WES;7;5;5;7;8;9;15;13;6;7;3;7
0856203OCH;5;7;7;7;9;10;13;10;6;9;4;7
0856301BIE;2;2;2;3;3;3;5;4;3;3;1;2
0856403MOK;4;4;3;7;6;12;14;11;8;6;6;7
0856501REM;2;2;2;2;2;4;5;4;2;3;1;1
0856601WAW;2;2;1;2;3;4;5;3;2;3;2;1
0856704ZOL;4;7;9;13;14;15;16;16;10;11;7;5
0856802SRO;4;2;4;5;6;8;9;7;4;6;3;3
0856904ZOL;6;6;5;8;13;17;21;15;8;10;9;4
0857003WOL;5;7;3;6;8;13;15;11;7;7;6;3
0857101SRO;1;1;2;2;2;4;5;3;2;2;2;2
0857202BIA;2;2;2;4;4;6;10;8;6;6;4;2
0857304MOK;7;5;7;10;12;15;17;14;8;12;7;10
0857404TAR;8;7;6;12;9;14;17;14;8;12;6;10
0857503WAW;5;5;6;7;10;13;15;9;9;7;4;5
0857604URY;6;10;6;10;13;17;22;18;13;8;6;9
0857707BIA;8;13;12;14;18;23;34;28;17;22;9;10
0857803WIL;5;4;5;6;6;10;14;9;7;7;6;6
0857902WAW;3;4;3;6;6;8;8;7;6;6;2;4
0858005BIE;10;12;12;14;11;20;23;19;17;16;5;7
0858103ZOL;4;6;5;10;9;12;15;10;7;7;7;4
0858201URY;2;1;2;3;2;4;5;4;2;3;1;2
0858304MOK;9;4;7;8;8;18;18;16;12;13;6;10
0858405URU;5;8;8;17;16;16;24;15;17;15;5;11
0858501MOK;2;2;1;3;2;4;4;4;3;2;1;1
0858607BIE;10;15;13;17;17;26;28;27;16;15;12;14
0858702BEM;4;2;2;5;6;6;8;6;6;5;2;4
0858802SRO;3;4;2;5;6;7;8;8;6;6;4;2
0858901BIE;2;1;1;3;3;4;4;3;3;3;2;2
0859004WAW;4;8;5;8;13;16;20;12;11;8;4;6
0859106WLO;8;9;13;16;16;18;24;18;16;15;7;14
0859202MOK;3;4;4;6;6;6;10;8;6;6;3;4
0859302WIL;3;4;2;6;4;7;9;7;5;5;4;2
0859403WES;3;7;6;8;9;13;16;9;6;7;4;7
0859501ZOL;1;1;1;3;3;4;5;4;3;2;1;1
0859603ZOL;7;5;3;6;9;13;16;10;9;6;4;3
0859704TAR;8;4;10;8;10;15;17;16;12;14;6;7
0859801TAR;2;1;2;2;3;3;4;4;2;2;1;1
0859907WES;9;8;12;20;18;21;34;25;18;21;13;14
0860004BIE;7;4;5;9;13;16;16;13;8;12;4;6
0860106PRA;12;8;14;18;16;18;27;22;13;15;11;11
0860201WIL;1;1;1;2;2;3;4;3;3;3;1;2
0860302WLO;3;4;4;5;5;7;10;8;6;5;4;2
0860404BEM;5;9;8;13;12;18;20;13;8;10;10;8
0860501WAW;2;1;2;3;3;4;5;4;3;2;2;2
0860603URU;5;5;6;9;8;13;16;9;9;7;3;6
0860705MOK;5;7;8;13;12;20;26;17;15;10;8;11
0860803URU;4;6;6;8;8;12;13;12;6;7;7;6
0860903OCH;3;3;6;7;9;11;13;13;7;9;7;3
0861004URU;8;9;5;11;11;18;20;15;14;8;5;10
0861102MOK;3;2;2;6;4;7;10;8;5;4;2;2
0861202ZOL;2;2;4;6;5;7;10;7;4;6;2;3
0861302WOL;4;4;4;4;5;6;10;8;6;6;2;4
0861403URU;7;3;3;10;6;12;14;10;9;10;4;6
0861505ZOL;7;6;5;17;15;20;22;20;11;10;9;9
0861603OCH;6;7;5;6;10;10;15;12;6;6;6;6
0861702URY;4;3;3;6;4;7;9;7;4;5;2;2
0861801URY;1;1;1;3;3;4;5;4;3;3;1;1
0861903TAR;5;3;6;10;9;11;14;13;7;6;6;3
0862004TAR;7;6;4;11;14;14;16;12;8;13;7;4
0862103WLO;7;6;5;8;7;12;16;13;6;9;4;6
0862201URU;1;2;2;2;2;4;5;4;3;2;1;1
0862302URU;3;2;2;4;5;8;10;6;5;6;2;2
0862403BIA;7;4;3;9;9;11;13;10;7;8;7;5
0862504WOL;5;6;7;12;11;14;18;17;12;11;4;9
0862603PRA;7;7;7;8;7;9;14;11;7;10;5;6
0862703REM;3;4;6;10;8;12;15;12;10;10;3;7
0862804WLO;9;5;5;8;13;17;18;18;12;8;4;8
0862903OCH;4;4;5;8;9;11;13;10;8;7;3;6
0863001WLO;1;1;2;3;3;4;4;3;3;3;1;1
0863104BEM;4;4;9;12;11;14;19;14;12;9;9;4
0863205ZOL;6;6;6;11;12;20;27;16;16;11;6;11
0863304URU;7;8;6;9;8;15;16;14;10;11;6;9
0863402URY;3;2;4;4;6;8;10;6;6;6;4;4
0863504WAW;5;7;4;11;12;13;18;14;12;13;7;5
0863602WLO;2;2;3;4;5;7;8;8;6;4;4;3
0863705SRO;5;10;8;11;13;20;22;20;13;12;5;9
0863807ZOL;14;8;11;22;17;21;29;27;22;15;7;7
0863904BEM;8;9;6;12;14;15;20;16;13;10;6;9
0864002ZOL;2;2;2;5;4;6;10;6;5;6;3;2
0864106BEM;9;8;9;13;15;23;30;25;20;15;10;13
0864205PRA;8;10;7;12;12;20;25;20;12;16;6;5
0864304MOK;5;4;4;13;11;14;16;12;8;8;6;5
0864404WLO;6;10;10;9;13;12;18;17;10;8;7;4
0864503URU;6;3;3;10;8;9;16;12;10;10;7;4
0864604WIL;5;6;7;10;12;15;21;16;8;14;8;5
0864702MOK;3;3;4;4;6;7;8;6;5;5;2;4
0864806OCH;8;7;12;13;19;24;29;22;20;16;13;13
0864904WLO;5;5;9;13;13;15;17;18;8;11;8;6
0865004URU;10;4;8;12;13;12;18;14;8;13;5;9
0865103URU;3;7;3;8;6;10;12;12;8;6;6;5
0865202BIA;2;4;2;5;4;6;10;7;6;4;2;4
0865304WAW;5;7;6;13;10;18;17;18;11;12;4;8
0865405REM;11;10;7;10;13;16;20;20;16;14;5;9
0865503BIA;5;7;6;8;8;10;16;11;7;10;5;5
0865602REM;3;3;3;4;6;8;10;8;4;5;4;2
0865702WLO;2;3;3;6;6;6;9;8;4;4;3;4
0865803WIL;6;7;3;7;8;10;12;10;9;6;5;5
0865902PRA;4;3;3;5;5;8;9;6;4;5;2;4
0866004WLO;9;5;9;8;14;17;18;15;9;11;10;9
0866103BIA;3;6;7;9;10;13;14;10;7;6;4;7
0866203BEM;5;4;6;8;7;9;16;9;7;7;7;4
0866305WAW;12;10;10;10;12;19;27;20;15;12;7;7
0866404WOL;7;9;10;9;12;16;18;14;8;13;6;4
0866501MOK;2;1;2;2;3;4;4;3;2;3;1;1
0866602PRA;4;4;2;4;4;7;9;7;6;6;2;4
0866704WIL;5;8;7;12;9;16;21;15;11;10;6;6
0866802MOK;2;2;3;4;6;8;10;7;4;6;3;2
0866904BIA;7;4;9;11;9;15;17;12;8;12;5;9
0867004BIA;5;4;9;8;11;16;20;13;12;8;9;10
0867102URU;3;2;4;6;5;7;9;7;5;4;2;2
0867203WAW;6;3;7;8;7;11;12;12;8;9;6;6
0867303BIA;5;6;6;6;7;9;15;12;6;6;4;6
0867402WES;2;3;3;5;5;7;9;8;5;4;4;2
0867504WES;4;4;7;11;14;15;18;15;13;10;6;9
0867601PRA;2;1;2;2;3;4;4;3;3;3;1;2
0867703REM;5;3;7;7;9;9;16;13;10;8;3;3
0867804PRA;6;9;5;9;14;13;16;15;9;8;4;6
0867902URU;3;3;2;5;4;8;10;7;6;6;2;4
0868006REM;10;7;6;19;17;19;32;18;20;13;14;6
0868103OCH;7;6;3;9;6;12;12;13;8;7;6;3
0868203PRA;5;7;7;8;9;12;12;12;7;8;7;7
0868304ZOL;9;7;6;8;11;15;19;18;12;11;8;5
0868402REM;2;3;3;5;5;6;9;7;4;4;4;4
0868505BIA;7;9;6;16;12;21;23;17;10;16;12;6
0868603MOK;7;7;6;8;9;10;15;11;7;7;6;6
0868704SRO;4;9;10;14;12;16;17;15;11;10;5;6
0868803PRA;3;5;6;9;6;10;16;9;7;7;6;6
0868906WES;12;11;14;18;14;25;31;26;20;17;13;8
0869004WLO;4;4;9;10;14;12;16;14;11;11;9;4
0869104REM;10;10;4;10;10;15;20;18;10;10;7;6
0869203WAW;6;5;4;6;9;11;12;13;7;9;7;4
0869303PRA;6;3;4;7;7;12;14;11;10;8;5;3
0869402WAW;4;3;2;5;4;6;9;8;4;4;4;3
0869501WOL;1;2;1;2;3;3;4;4;2;2;2;1
0869603URU;7;4;5;7;10;13;12;13;7;10;4;4
0869702URU;3;2;2;5;5;6;9;8;6;4;4;3
0869802BEM;4;4;2;6;5;8;9;7;4;4;4;4
0869904WAW;6;8;6;8;12;13;17;17;10;10;9;6
0870003TAR;7;5;4;10;9;11;16;11;9;10;3;7
0870104BEM;9;10;10;13;10;18;20;12;14;13;8;8
0870204TAR;4;9;9;12;11;14;22;13;13;9;5;9
0870303PRA;4;3;7;7;10;12;16;10;9;6;3;4
0870403OCH;3;6;4;9;8;13;12;12;7;9;6;4
0870504MOK;6;4;5;8;10;18;18;15;10;13;8;8
0870607PRA;13;15;7;14;18;22;31;26;19;16;8;8
0870703TAR;3;4;5;8;9;10;15;12;8;7;4;7
0870803TAR;6;6;3;6;10;9;14;9;7;8;5;7
0870902WES;3;2;4;6;5;8;10;7;6;6;4;2
0871004PRA;10;5;4;8;14;16;22;12;13;12;6;10
0871104WOL;8;8;5;10;14;14;20;15;14;12;8;8
0871204SRO;6;6;8;14;13;16;18;17;11;12;8;4
0871303MOK;6;6;5;6;6;13;16;11;10;8;5;4
0871404BEM;9;10;4;14;11;12;22;18;8;9;10;4
0871504WOL;6;6;5;9;12;17;16;13;10;8;9;8
0871606ZOL;14;13;14;18;15;23;25;18;12;20;9;14
0871705URY;10;10;9;17;17;18;23;18;15;12;7;8
0871802BIE;4;4;2;5;5;7;9;6;6;4;4;4
0871902REM;4;2;3;4;6;8;9;6;4;4;4;2
0872003WOL;3;5;4;6;9;12;16;11;10;7;5;5
0872103PRA;5;3;7;7;10;13;16;10;9;7;5;5
0872201MOK;1;1;2;3;2;3;4;3;3;3;2;1
0872302WIL;4;4;2;4;6;6;9;7;6;5;2;4
0872403ZOL;6;3;7;8;6;10;15;9;7;7;6;6
0872503WES;6;3;3;9;8;13;13;13;8;10;6;5
0872603WLO;6;4;6;7;8;12;14;10;7;7;6;6
0872703WLO;3;5;5;9;6;9;13;12;7;9;7;4
0872804WIL;8;4;8;14;11;17;21;14;8;13;10;10
0872902WLO;2;4;3;6;4;6;10;8;4;4;3;3
0873004WOL;4;8;8;9;10;18;19;12;12;11;8;8
0873101URU;2;2;2;2;2;3;5;3;2;2;1;2
0873202WOL;4;4;2;5;4;6;9;6;6;5;4;3
0873303URU;4;3;5;6;6;13;15;13;8;8;6;4
0873404BIE;7;7;6;10;11;18;16;12;9;14;9;10
0873506WAW;11;6;12;12;20;22;29;24;19;15;6;9
0873604URU;7;7;7;11;12;18;17;13;11;10;5;6
0873705OCH;12;9;8;15;14;20;27;17;15;14;10;11
0873802WAW;4;2;3;6;4;8;10;7;4;5;2;4
0873903TAR;4;7;5;8;8;11;15;12;8;9;7;3
0874004BEM;5;7;4;10;9;13;19;12;13;9;9;7
0874104WIL;7;9;6;10;14;16;21;14;14;8;7;5
0874203REM;5;3;6;6;6;10;13;13;8;7;4;7
0874303URY;7;6;3;7;7;11;15;12;8;9;5;4
0874403BIE;7;4;7;10;7;12;13;13;7;9;4;3
0874506ZOL;7;12;13;20;17;21;27;19;16;20;7;13
0874603WAW;7;3;4;10;9;12;15;10;9;6;5;5
0874703PRA;5;7;5;6;7;10;15;10;10;9;7;4
0874801ZOL;1;2;1;3;3;4;5;4;3;2;1;2
0874902WAW;2;4;2;4;4;6;8;7;5;5;2;4
0875003WOL;5;4;3;9;10;13;16;11;10;10;5;5
0875107REM;11;9;11;22;15;27;33;24;21;19;15;8
0875204BIA;9;4;5;9;9;18;18;18;8;8;8;9
0875303PRA;7;7;3;9;7;11;16;9;10;8;3;3
0875405WLO;6;7;5;13;17;17;22;16;17;17;5;9
0875503WIL;3;5;4;9;10;11;13;13;9;7;5;5
0875603TAR;3;5;7;9;9;12;16;9;6;8;4;6
0875703ZOL;6;4;6;10;6;9;14;11;8;9;3;7
0875802WES;4;3;3;4;6;8;9;6;6;6;2;4
0875905MOK;7;12;10;12;11;21;26;18;12;13;7;9
